accession	strain
AB053291	Mie/90
AB061450	Kowalik
AB061502	Aichi/306/92
AB244319	00-10719
AB244320	01-10142
AB244321	02-00160
AB244322	03-10084
AB244323	04-10062
AB244324	05-10099
AB244325	05-10208
AB727981	211-YN-2005AFP
AB739049	458-YN2011-JK
AB739052	468-YN2011-JK
AB902817	CA10/Okinawa/279/2011
AB904612	CA4/Okinawa/428/2011
AB908254	CA10/25-0124/osaka.JPN/2013
AF081300	Kowalik
AF303042	Kowalik
AF412346	AF412346
AY421767	Kowalik
AY694120	s-4-098_03
AY694121	s-4-150_03
AY697479	BAN00-10475
AY903639	USA-10605
AY956574	Germany/286/2003
AY956577	Germany/491/2003
GQ914903	GEO03-11085
GU248485	SVK02/326
GU248486	SVK07/2096
GU248487	SVK07/2244
GU248488	FIN08/So2466
GU248489	FIN99/E
GU248490	RUS01/15724
GU248491	EGY07/E116/K36374
GU248492	FIN08/No2391
GU248493	FIN08/We2420
GU248494	FIN08/Ea2470
GU248495	FIN08/So2471
GU248496	FIN08/So2447
GU248497	FIN08/We24A
GU248498	FIN08/Ou2602
GU248499	FIN08/Ou2604
GU248500	FIN08/We2539
GU248501	FIN08/We32A
GU248502	FIN08/We30A
GU248503	FIN08/Ea2550
GU248504	FIN08/Ea2552
GU248505	FIN08/Ou2573
GU248506	LVA04/990
GU248507	SWE04/L0731
GU248508	LVA04/1009
GU248509	EST07/1995
GU248510	FIN08/No2391
GU248511	FIN08/We2420
GU248512	FIN08/Ea2470
GU248513	FIN08/So2471
GU248514	FIN08/So2515
GU248515	FIN08/We33A
GU248516	FIN08/We31A
GU248517	FIN08/Ou2577
GU248518	FIN08/Ea2646
GU248519	FIN08/Ea2656
GU248520	FIN08/Ou2788
GU248521	FIN08/Ea2658
GU248522	FIN08/So2673
GU248523	FIN08/Ea2709
GU248524	FIN08/Ea2724
GU248525	FIN08/So2623
GU248526	FIN08/No2686
GU947774	TA-E35/SD/CHN/2009/CA10
GU947775	TA-E76/SD/CHN/2009/CA10
GU947776	WD0002/SD/CHN/2009/CA10
GU947777	WD0004/SD/CHN/2009/CA10
GU947778	WD0006/SD/CHN/2009/CA10
GU947779	WD0008/SD/CHN/2009/CA10
GU947780	WD0010/SD/CHN/2009/CA10
GU947781	WD0011/SD/CHN/2009/CA10
GU947782	WD0012/SD/CHN/2009/CA10
GU947783	WD0018/SD/CHN/2009/CA10
GU947784	WD0022/SD/CHN/2009/CA10
GU947785	WD0023/SD/CHN/2009/CA10
GU947786	WD0034/SD/CHN/2009/CA10
GU947787	WD0048/SD/CHN/2009/CA10
HM752803	2946152
HM752813	121111
HQ424440	129045
HQ728262	CVA10/SD/CHN/09
JN315992	SHAPHC668T/SH/CHN/2010
JN315993	SHAPHC669F/SH/CHN/2010
JN315994	SHAPHC681T/SH/CHN/2010
JN315995	SHAPHC700F/SH/CHN/2010
JN315996	SHAPHC734T/SH/CHN/2010
JN315997	SHAPHC744F/SH/CHN/2010
JN315998	SHAPHC745F/SH/CHN/2010
JN315999	SHAPHC798F/SH/CHN/2010
JN316000	SHAPHC802F/SH/CHN/2010
JN316001	SHAPHC807F/SH/CHN/2010
JN316002	SHAPHC846F/SH/CHN/2010
JN316003	SHAPHC956F/SH/CHN/2010
JN316004	SHAPHC958F/SH/CHN/2010
JN316005	SHAPHC1005F/SH/CHN/2010
JN316006	SHAPHC1009F/SH/CHN/2010
JN316007	SHAPHC1054F/SH/CHN/2010
JN316008	SHAPHC1070F/SH/CHN/2010
JN316009	SHAPHC1119F/SH/CHN/2010
JN316010	SHAPHC1213F/SH/CHN/2010
JN316011	SHAPHC1263F/SH/CHN/2010
JN316012	SHAPHC1273F/SH/CHN/2010
JN896779	TW/NHRI9760/08
JN896784	TW/NHRI9774/08
JN896787	TW/NHRI9811/09
JN896789	TW/NHRI9814/09
JN896798	TW/NHRI9834/09
JN896799	TW/NHRI9839/09
JN896804	TW/NHRI9849/09
JN896805	TW/NHRI9851/09
JN990932	Deep_51/PGI
JN990979	Deep_588/PGI
JQ320204	XMCDC-0917
JQ320208	XMCDC-0922
JQ320229	XMCDC-0944
JQ320248	XMCDC-0917
JQ320252	XMCDC-0922
JQ320273	XMCDC-0944
JQ411088	D588/M2-2009/CVA10
JQ518455	CA10-F-1780/N.Nov/Bor/RU/2011
JQ518456	CA10-F-2194/N.Nov/Sosnovsk/RU/2010
JQ518474	CA10-F-2093/Ioshkar Ola/RU/2010
JQ518477	CA10-F-2093/Ioshkar Ola/RU/2010
JX538055	BAN/2007/14635
JX538063	BAN/2007/14644
JX538064	BAN/2007/14645
JX538065	BAN/2007/14646
JX538066	BAN/2007/14647
JX538076	BAN/2007/14657
JX538121	BAN/2007/14705
JX569076	SHAPHC2821T/SH/CHN/10
KC834855	SHFD10-3/SH/CHN/2010
KC834856	SHFD10-10/SH/CHN/2010
KC834857	SHFD10-35/SH/CHN/2010
KC834858	SHFD10-65/SH/CHN/2010
KC834859	SHFD10-70/SH/CHN/2010
KC834860	SHFD10-77/SH/CHN/2010
KC834861	SHFD10-112/SH/CHN/2010
KC834862	SHFD10-129/SH/CHN/2010
KC834863	SHFD10-136/SH/CHN/2010
KC834864	SHFD10-139/SH/CHN/2010
KC834865	SHFD10-140/SH/CHN/2010
KC834866	SHFD10-142/SH/CHN/2010
