seqName	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	coverage
AB047341							
AB094770							
AB094769							
AB061502		4	good	484	745	951	0.027938993116479956
AB053291		0	good	501	745	951	0.027938993116479956
AB061450		0	good	621	745	951	0.027938993116479956
AB109018		0	good	1547	2599	5643	0.41098663787285733
AB114120		0	good	1476	2648	7048	0.5940072884329869
AB114142							
AB114117		0	good	1480	2648	7048	0.5940072884329869
AB114118		0	good	1480	2648	7048	0.5940072884329869
AB114119		0	good	1480	2648	7048	0.5940072884329869
AB114121		0	good	1476	2648	7048	0.5940072884329869
AB119638		0	good	1578	2601	3334	0.09906870022945066
AB114123		0	good	1472	2648	7048	0.5940072884329869
AB119639		0	good	1574	2601	3334	0.09906870022945066
AB114122		0	good	1476	2648	7048	0.5940072884329869
AB121045		0	good	1598	2601	3334	0.09906870022945066
AB119640		0	good	1594	2601	3334	0.09906870022945066
AB121044		0	good	1598	2601	3334	0.09906870022945066
AB119641		0	good	1602	2601	3334	0.09906870022945066
AB162728		0	good	1508	2621	3466	0.11418545012822243
AB162741							
AB126205		0	good	2458	78	1190	0.1502227021190444
AB162727		0	good	1449	2617	5491	0.38804157106222165
AB126614		0	good	1594	2601	3334	0.09906870022945066
AB126206		0.444444	good	2317	76	1098	0.13794034282629233
AB162745							
AB162730		0	good	1462	2617	3496	0.11877446349034958
AB126207		0	good	1257	575	1190	0.0831421244432447
AB167982		0	good	1466	2629	3298	0.09043055743015252
AB167759		0	good	445	745	951	0.027938993116479956
AB162746		0	good	1250	548	1194	0.08732622486165474
AB162743		4	good	2457	78	1192	0.15008773113780538
AB167984		0	good	1452	2629	5650	0.40788230530435954
AB167983		0	good	1470	2629	3298	0.09043055743015252
AB167985		0	good	1470	2629	3298	0.09043055743015252
AB167986		0	good	1462	2629	3298	0.09043055743015252
AB239981							
AB162744		0	good	2126	222	6952	0.9084896747199352
AB239983							
AB239984							
AB167987		0	good	1470	2629	3298	0.09043055743015252
AB167988		0	good	1462	2629	3298	0.09043055743015252
AB239932		0	good	1126	2677	3194	0.06991496828181941
AB239982		0	good	859	745	1161	0.05628289917667702
AB162742		0	good	2094	256	2573	0.3128627345120799
AB239986		0	good	864	745	1160	0.05614792819543798
AB244319		0	good	737	745	1087	0.04629504656498853
AB239980		0	good	854	745	1154	0.05533810230800378
AB239985		0	good	846	745	1154	0.05533810230800378
AB244320		0	good	824	745	1144	0.05398839249561344
AB162729		0	good	1545	2612	6909	0.5801052773653664
AB244321		4	good	716	745	1081	0.045485220677554325
AB244323		0	good	1400	548	1199	0.08800107976784992
AB244322		0	good	1367	547	1199	0.08813605074908895
AB282808		0.444444	good	1253	551	1171	0.08368200836820083
AB244325		0	good	1357	548	1199	0.08800107976784992
AB244324		0	good	1368	548	1200	0.08813605074908895
AB904612							
AB908254							
AB727981		0	good	1239	2656	3943	0.1738426238358753
AB598060		0	good	1555	2598	3330	0.09893372924821163
AF412346							
AB282809		0.444444	good	1228	569	1171	0.08125253070589823
AB739052		4	good	945	2457	2919	0.06249156431367256
AB902817		0	good	1475	2176	2892	0.0967741935483871
AB739049		0	good	866	2902	5485	0.34876501552166284
AB598061		0	good	1555	2598	3330	0.09893372924821163
AF303042		0	good	1179	166	558	0.05304359562694021
AJ295191		0	good	3395	40	1182	0.1542718315562154
AF081300		0	good	2682	2437	3330	0.12066405722769605
AY697479		0	good	1581	6673	7409	0.09947361317316777
AY694121		4	good	936	2893	3356	0.06262653529491159
DQ251300							
AY694120		4	good	951	2893	3356	0.06262653529491159
DQ317287							
AY903639		0	good	617	2593	2895	0.04089620731542718
DQ251391		4	good	388	6910	7113	0.027534080172762855
DQ251344		0	good	601	2996	3270	0.03711701984073424
