accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	isolate-lineage-source	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	age	gender	symptoms	published_clade
AB047341	AB047341.1	GenBank		M-344			XXXX-XX-XX	2001-02-15	2016-07-14	207				Ishiko,H.,Shimada,Y.,Hosoya,M.	"Hiroaki Ishiko, Mitsubisikagaku bio-clinical laboratories, Inc., Infectious deseases laboratory; 3-30-1 shimura, itabashi-ku, tokyo 174-8555"	Japan			"Ishiko et al."											
AB053291	AB053291.1	GenBank		AB053291			XXXX-XX-XX	2002-04-19	2016-07-26	207				Ishiko,H.,Shimada,Y.,Yonaha,M.,Hashimoto,O.,Hayashi,A.,Sakae,K.,Takeda,N.	"Hiroaki Ishiko, Mitsubishi Kagaku Bio-Clinical Laboratories, Inc., Infectious Disease Laboratory; Shimura 3-30-1, Itabashi-ku, Tokyo 174-8555"	Japan			"Ishiko et al."		0	good	501	745	951	0.02793899311648				
AB061450	AB061450.1	GenBank		AB061450			XXXX-XX-XX	2002-04-19	2016-07-26	207				Ishiko,H.,Shimada,Y.,Yonaha,M.,Hashimoto,O.,Hayashi,A.,Sakae,K.,Takeda,N.	"Hiroaki Ishiko, Mitsubishi Kagaku Bio-Clinical Laboratories, Inc., Infectious Disease Laboratory; Shimura 3-30-1, Itabashi-ku, Tokyo 174-8555"	Japan			"Ishiko et al."		0	good	621	745	951	0.02793899311648				
AB061502	AB061502.1	GenBank		AB061502			XXXX-XX-XX	2002-04-19	2016-07-26	207				Ishiko,H.,Shimada,Y.,Yonaha,M.,Hashimoto,O.,Hayashi,A.,Sakae,K.,Takeda,N.	"Hiroaki Ishiko, Mitsubishi Kagaku Bio-Clinical Laboratories, Inc., Infectious Disease Laboratory; Shimura 3-30-1, Itabashi-ku, Tokyo 174-8555"	Japan			"Ishiko et al."		4	good	484	745	951	0.02793899311648				
AB094769	AB094769.1	GenBank		V-16469/CA10/Kanagawa/1999	Asia		XXXX-XX-XX	2003-07-08	2016-07-25	207	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Shutou,A.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."											
AB094770	AB094770.1	GenBank		P-700/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-08	2008-12-02	207	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Shutou,A.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."											
AB109018	AB109018.1	GenBank		02-244NPC1	Asia		XXXX-XX-XX	2003-05-02	2016-07-25	705				Miyashiro,M.,Wakatsuki,K.,Hiwaki,H.,Takeda,A.	"Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan	Fukuoka	"Miyashiro et al."		0	good	1547	2599	5643	0.410986637872857				
AB114117	AB114117.1	GenBank		P-472/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1480	2648	7048	0.594007288432987				
AB114118	AB114118.1	GenBank		P-500/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1480	2648	7048	0.594007288432987				
AB114119	AB114119.1	GenBank		P-502/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1480	2648	7048	0.594007288432987				
