accession	accession_version	strain	published_clade
AY421767	AY421767.1	CA10	A
GQ214172	GQ214172.1	H167F/SD/CHN/2008/CA10	B
GQ214174	GQ214174.1	H580F/SD/CHN/2008/CA10	B
GQ214175	GQ214175.1	H587F/SD/CHN/2008/CA10	B
GQ214176	GQ214176.1	04294/SD/CHN/2004/CA10	B
GQ214177	GQ214177.1	06251/SD/CHN/2006/CA10	B
KC867026	KC867026.1	JB143090155	B
KC867028	KC867028.1	JB143090148	B
KF999747	KF999747.1	HuN09-22	B
MF422531	MF422531.1	MF422531	B
MG838802	MG838802.1	HeB-2009-52	B
MH118054	MH118054.1	MH118054	B
FR796479	FR796479.1	ESP08/54576	C
FR796490	FR796490.1	ESP08/54697	C
HE572990	HE572990.1	CF203060_FRA10	C
HQ728262	HQ728262.1	HQ728262	C
JN639891	JN639891.1	M10M6	C
JX154977	JX154977.2	CVA10-SHZH2010-0803	C
KC867044	KC867044.1	JB141230348	C
KF999759	KF999759.1	JL12-2	C
KJ641623	KJ641623.1	KJ641623	C
KP009574	KP009574.1	KP009574	C
KP009575	KP009575.1	KP009575	C
KP009576	KP009576.1	KP009576	C
KP009577	KP009577.1	KP009577	C
KP009578	KP009578.1	KP009578	C
KP009579	KP009579.1	KP009579	C
KP009580	KP009580.1	KP009580	C
KP009581	KP009581.1	KP009581	C
KP289394	KP289394.1	CV-A10/P1005/2013/China	C
KP289395	KP289395.1	CV-A10/P118/2013/China	C
KP289396	KP289396.1	CV-A10/P448/2013/China	C
KP289397	KP289397.1	CV-A10/P460/2013/China	C
KP289398	KP289398.1	CV-A10/P630/2013/China	C
KP289399	KP289399.1	CV-A10/P638/2013/China	C
KP289400	KP289400.1	CV-A10/P639/2013/China	C
KP289401	KP289401.1	CV-A10/P670/2013/China	C
KP289402	KP289402.1	CV-A10/P73/2013/China	C
KP289403	KP289403.1	CV-A10/P737/2013/China	C
KP289404	KP289404.1	CV-A10/P864/2013/China	C
KP289405	KP289405.1	CV-A10/P866/2013/China	C
KP289406	KP289406.1	CV-A10/P91/2013/China	C
KP289407	KP289407.1	CV-A10/P911/2013/China	C
KP289408	KP289408.1	CV-A10/P935/2013/China	C
KP289409	KP289409.1	CV-A10/P962/2013/China	C
KP289410	KP289410.1	CV-A10/P978/2013/China	C
KT588920	KT588920.1	KT588920	C
KU578126	KU578126.1	Heze/SD/CHN/2014	C
KU578127	KU578127.1	Weihai/SD/CHN/2014	C
KU578128	KU578128.1	Linyi/SD/CHN/2014	C
KU578129	KU578129.1	Laiwu/SD/CHN/2014	C
KU578130	KU578130.1	Taian1/SD/CHN/2014	C
KU578131	KU578131.1	Taian2/SD/CHN/2014	C
KU578132	KU578132.1	Taian3/SD/CHN/2014	C
KU578133	KU578133.1	Weifang1/SD/CHN/2014	C
KU578134	KU578134.1	Weifang2/SD/CHN/2014	C
KU578135	KU578135.1	Qingdao1/SD/CHN/2014	C
KU578136	KU578136.1	Qingdao2/SD/CHN/2014	C
KX430806	KX430806.1	KX430806	C
KX430809	KX430809.1	KX430809	C
KX595287	KX595287.1	CVA10/Shenzhen152/CHN/2013	C
KX595288	KX595288.1	CVA10/Shenzhen18/CHN/2014	C
KX595289	KX595289.1	CVA10/Shenzhen180/CHN/2014	C
KX595290	KX595290.1	CVA10/Shenzhen10/CHN/2015	C
KX768156	KX768156.1	2014-XMCDC-361-CA10	C
KX768159	KX768159.1	2015-XMCDC-85-CA10	C
KX768160	KX768160.1	2015-XMCDC-85-CA10	C
KX768163	KX768163.1	2015-XMCDC-162-CA10	C
KY012321	KY012321.1	KY012321	C
KY271944	KY271944.1	KY271944	C
KY272007	KY272007.1	WH21R/Shandong/China/2014	C
KY272008	KY272008.1	QD102R/Shandong/China/2014	C
KY272009	KY272009.1	TA151R/Shandong/China/2014	C
KY272010	KY272010.1	HZ302R/Shandong/China/2014	C
LC483986	LC483986.1	LC483986	C
LC483987	LC483987.1	LC483987	C
LC483988	LC483988.1	LC483988	C
MF678312	MF678312.1	NSW-V23-2007-CVA10	C
MF688814	MF688814.1	A10	C
MG838801	MG838801.1	HeB-2009-36	C
MG838813	MG838813.1	HuN13-3	C
MG838827	MG838827.1	JX15-50	C
MG838880	MG838880.1	XJ14-66	C
MK301475	MK301475.1	MK301475	C
MK301476	MK301476.1	MK301476	C
MK301477	MK301477.1	MK301477	C
MK301478	MK301478.1	MK301478	C
MK301479	MK301479.1	MK301479	C
MK645898	MK645898.1	P148/ZS/CHN/2012	C
MK791147	MK791147.1	GD03	C
MK814854	MK814854.1	HEV9667699	C
MK814855	MK814855.1	HEV792611	C
MT263729	MT263729.2	MT263729	C
MT347977	MT347977.1	MT347977	C
FR796483	FR796483.1	ESP08/54602	D
HE572948	HE572948.1	CF142021_FRA10	D
HE572957	HE572957.1	CF159016_FRA10	D
HE572969	HE572969.1	CF180040_FRA10	D
KR185980	KR185980.1	SPb_4982/13EVI/Nov-29/14/RU	D
JN255588	JN255588.1	CAF-OMB-06-062	E
JX307651	JX307651.1	T08-235	E
KF412913	KF412913.1	NIV53277	F
KF413053	KF413053.1	NIV0512495	F
MH118023	MH118023.1	MH118023	F
MH118033	MH118033.1	MH118033	F
MH118034	MH118034.1	MH118034	F
MH118035	MH118035.1	MH118035	F
MH118036	MH118036.1	MH118036	F
MH118037	MH118037.1	MH118037	F
MH118038	MH118038.1	MH118038	F
MH118039	MH118039.1	MH118039	F
MH118040	MH118040.1	MH118040	F
MH118041	MH118041.1	MH118041	F
MH118042	MH118042.1	MH118042	F
MH118043	MH118043.1	MH118043	F
MH118044	MH118044.1	MH118044	F
MH118045	MH118045.1	MH118045	F
MH118046	MH118046.1	MH118046	F
MH118047	MH118047.1	MH118047	F
MH118048	MH118048.1	MH118048	F
MH118049	MH118049.1	MH118049	F
MH118050	MH118050.1	MH118050	F
MH118051	MH118051.1	MH118051	F
MH118052	MH118052.1	MH118052	F
MH118053	MH118053.1	MH118053	F
MH118055	MH118055.1	MH118055	F
MH118056	MH118056.1	MH118056	F
MH118057	MH118057.1	MH118057	F
MH118058	MH118058.1	MH118058	F
MH118059	MH118059.1	MH118059	F
MH118060	MH118060.1	MH118060	F
MH118061	MH118061.1	MH118061	F
MH118062	MH118062.1	MH118062	F
MH118063	MH118063.1	MH118063	F
MH118064	MH118064.1	MH118064	F
MH118065	MH118065.1	MH118065	F
MH118066	MH118066.1	MH118066	F
MH118067	MH118067.1	MH118067	F
MH118068	MH118068.1	MH118068	F
MH118069	MH118069.1	MH118069	F
MH118070	MH118070.1	MH118070	F
MH118071	MH118071.1	MH118071	F
MH118072	MH118072.1	MH118072	F
MH118073	MH118073.1	MH118073	F
MH118074	MH118074.1	MH118074	F
MH118075	MH118075.1	MH118075	F
MH118076	MH118076.1	MH118076	F
MH118077	MH118077.1	MH118077	F
MH118078	MH118078.1	MH118078	F
MH118079	MH118079.1	MH118079	F
MH118080	MH118080.1	MH118080	F
MH118081	MH118081.1	MH118081	F
MH118082	MH118082.1	MH118082	F
MH118083	MH118083.1	MH118083	F
MH118084	MH118084.1	MH118084	F
MH118085	MH118085.1	MH118085	F
MH118086	MH118086.1	MH118086	F
MH118087	MH118087.1	MH118087	F
MH118088	MH118088.1	MH118088	F
MH118089	MH118089.1	MH118089	F
MH118090	MH118090.1	MH118090	F
MH144590	MH144590.1	MH144590	F
MH144591	MH144591.1	MH144591	F
MH144592	MH144592.1	MH144592	F
MH144594	MH144594.1	MH144594	F
MH144595	MH144595.1	MH144595	F
MH144596	MH144596.1	MH144596	F
MH144597	MH144597.1	MH144597	F
MH144599	MH144599.1	MH144599	F
MH144603	MH144603.1	MH144603	F
MF422532	MF422532.1	MF422532	G
AB119638	AB119638.1	CA10/800387/Hiroshima.JP/00	H
AB119639	AB119639.1	CA10/80004/Hiroshima.JP/01	H
JN034211	JN034211.1	CV-A10/GERMANY2001/35	H
AB047341	AB047341.1	M-344	
AB053291	AB053291.1	AB053291	
AB061450	AB061450.1	AB061450	
AB061502	AB061502.1	AB061502	
AB094769	AB094769.1	V-16469/CA10/Kanagawa/1999	
AB094770	AB094770.1	P-700/CA10/Kanagawa/2000	
AB109018	AB109018.1	02-244NPC1	
AB114117	AB114117.1	P-472/CA10/Kanagawa/2000	
AB114118	AB114118.1	P-500/CA10/Kanagawa/2000	
AB114119	AB114119.1	P-502/CA10/Kanagawa/2000	
AB114120	AB114120.1	P-513/CA10/Kanagawa/2000	
AB114121	AB114121.1	P-553/CA10/Kanagawa/2000	
AB114122	AB114122.1	P-560/CA10/Kanagawa/2000	
